language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.363920356,-0.292043457,1,0,0,1.8068,gr_flag,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,2.9642,0.367721897,-0.425906304,1,0,0,next_trial_button,0,10,10,48,1,beach,invisiblesun,noclouds,6,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,9,3.0282,0.358350694,-0.42253045,1,0,0,next_trial_button,0,11,11,44,1,landscape,invisiblesun,noclouds,5,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,2.5615,0.401256782,-0.415035807,1,0,0,next_trial_button,0,12,12,12,1,landscape,invisiblesun,noclouds,1,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,3.3812,0.409397922,-0.397662625,1,0,0,next_trial_button,0,13,13,25,1,beach,invisiblesun,yesclouds,3,"750.4690431519699,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,3,5.8935,0.341349962,-0.396690809,1,0,0,next_trial_button,0,14,14,22,1,landscape,visiblesun,noclouds,2,"749.3333333333333,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,10,2.9775,0.387555203,-0.413579305,1,0,0,next_trial_button,0,15,15,67,1,beach,visiblesun,yesclouds,8,"748.1481481481482,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,2.5696,0.375106744,-0.419588013,1,0,0,next_trial_button,0,16,16,40,1,beach,invisiblesun,noclouds,5,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,3.6608,0.442910699,-0.416528185,1,0,0,next_trial_button,0,17,17,7,1,landscape,visiblesun,yesclouds,0,"743.421052631579,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,3.2786,0.395509304,-0.431129761,1,0,0,next_trial_button,0,18,18,28,1,landscape,invisiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,6,7.747,0.508879801,-0.411459012,1,0,0,next_trial_button,0,19,19,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
